Countries,2000_DWU,2001_DWU,2002_DWU,2003_DWU,2004_DWU,2005_DWU,2006_DWU,2007_DWU,2008_DWU,2009_DWU,2010_DWU,2011_DWU,2012_DWU,2013_DWU,2014_DWU,2015_DWU,2016_DWU,2017_DWU,2018_DWU,2019_DWU,2020_DWU,2000_LEB,2010_LEB,2015_LEB,2019_LEB
Cambodia,53.0,54.0,56.0,57.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,66.0,67.0,68.0,68.0,69.0,70.0,70.0,71.0,71.0,58.7,67.2,69.2,70.1
Cameroon,58.0,58.0,59.0,59.0,59.0,60.0,60.0,61.0,61.0,62.0,62.0,62.0,63.0,63.0,64.0,64.0,64.0,65.0,65.0,65.0,66.0,52.8,56.6,59.1,62.4
Canada,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,79.1,81.3,81.8,82.2
Central African Republic,59.0,58.0,57.0,55.0,54.0,53.0,52.0,51.0,50.0,49.0,48.0,47.0,45.0,44.0,43.0,42.0,41.0,40.0,39.0,38.0,37.0,44.3,48.5,50.5,53.1
Chad,40.0,40.0,40.0,40.0,41.0,41.0,41.0,42.0,42.0,42.0,43.0,43.0,43.0,44.0,44.0,44.0,45.0,45.0,45.0,46.0,46.0,51.1,55.7,57.9,59.6
Chile,96.0,96.0,96.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,76.8,78.5,79.8,80.7
China,80.0,81.0,82.0,83.0,84.0,85.0,85.0,86.0,87.0,88.0,89.0,89.0,90.0,91.0,91.0,92.0,92.0,93.0,93.0,94.0,94.0,71.6,74.9,76.6,77.4
Colombia,91.0,92.0,92.0,93.0,93.0,93.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,73.7,77.1,78.4,79.3
Comoros,91.0,91.0,90.0,89.0,88.0,88.0,87.0,86.0,85.0,84.0,83.0,83.0,82.0,81.0,80.0,80.0,80.0,80.0,80.0,80.0,87.84302325581395,61.5,65.0,66.5,67.4
Congo,57.0,57.0,58.0,58.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,73.0,74.0,74.0,52.1,61.0,63.1,64.7
Costa Rica,94.0,95.0,95.0,96.0,96.0,96.0,97.0,97.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,78.0,79.6,80.8,80.8
Côte d'Ivoire,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,50.3,56.6,60.2,62.9
