Countries,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Jamaica,12.83 ,13.25 ,13.7 ,14.13 ,14.57 ,15 ,15.43 ,15.88 ,16.35 ,16.82 ,17.28 ,17.69 ,18.07 ,18.39 ,18.67 ,18.93 ,19.24 ,19.58 ,19.97 ,20.41 ,20.93 
Mexico,13.71 ,14.16 ,14.66 ,15.17 ,15.68 ,16.21 ,16.76 ,17.33 ,17.93 ,18.54 ,19.17 ,19.84 ,20.54 ,21.27 ,22.05 ,22.89 ,23.8 ,24.79 ,25.87 ,27.04 ,28.29 
Montserrat,5.44 ,5.62 ,5.81 ,6.01 ,6.22 ,6.42 ,6.65 ,6.87 ,7.09 ,7.34 ,7.58 ,7.84 ,8.12 ,8.4 ,8.69 ,9.01 ,9.31 ,9.67 ,10.05 ,10.47 ,10.9 
Nicaragua,14.03 ,14.9 ,15.82 ,16.77 ,17.77 ,18.78 ,19.81 ,20.83 ,21.9 ,22.99 ,24.09 ,25.21 ,26.39 ,27.63 ,28.95 ,30.31 ,31.76 ,33.34 ,35.02 ,36.86 ,38.85 
Panama,14.37 ,14.85 ,15.35 ,15.9 ,16.44 ,16.93 ,17.48 ,18.01 ,18.61 ,19.23 ,19.82 ,20.47 ,21.09 ,21.71 ,22.35 ,22.94 ,23.55 ,24.16 ,24.77 ,25.4 ,26.01 
Paraguay,18.74 ,19.36 ,20.02 ,20.75 ,21.43 ,22.19 ,22.89 ,23.63 ,24.4 ,25.15 ,25.96 ,26.76 ,27.55 ,28.36 ,29.16 ,29.94 ,30.75 ,31.52 ,32.29 ,33.08 ,33.83 
Peru,14.54 ,14.92 ,15.31 ,15.69 ,16.1 ,16.55 ,17.05 ,17.62 ,18.29 ,19.05 ,19.94 ,20.95 ,22.1 ,23.41 ,24.85 ,26.45 ,28.23 ,30.24 ,32.54 ,35.15 ,38.13 
Saint Kitts and Nevis,15.02 ,15.44 ,15.86 ,16.26 ,16.61 ,16.94 ,17.19 ,17.31 ,17.38 ,17.42 ,17.51 ,17.63 ,17.83 ,18.12 ,18.53 ,19.09 ,19.8 ,20.65 ,21.64 ,22.71 ,23.81 
Saint Lucia,24.48 ,24.06 ,23.57 ,23.04 ,22.5 ,21.95 ,21.43 ,20.95 ,20.49 ,20.08 ,19.71 ,19.38 ,19.1 ,18.85 ,18.65 ,18.5 ,18.39 ,18.32 ,18.3 ,18.33 ,18.41 
Saint Vincent and the Grenadines,14.16 ,14.64 ,15.17 ,15.68 ,16.25 ,16.82 ,17.41 ,18.02 ,18.64 ,19.25 ,19.85 ,20.37 ,20.79 ,21.12 ,21.36 ,21.53 ,21.68 ,21.84 ,21.98 ,22.15 ,22.3 
Suriname,17.71 ,18.26 ,18.78 ,19.37 ,19.94 ,20.48 ,21.02 ,21.6 ,22.14 ,22.72 ,23.29 ,23.89 ,24.55 ,25.22 ,25.91 ,26.67 ,27.48 ,28.35 ,29.27 ,30.27 ,31.31 
Trinidad and Tobago,16.81 ,17.39 ,17.91 ,18.46 ,19.03 ,19.64 ,20.23 ,20.85 ,21.53 ,22.2 ,22.89 ,23.54 ,24.21 ,24.9 ,25.6 ,26.19 ,26.81 ,27.27 ,27.68 ,27.94 ,28.13 
Turks and Caicos Islands,4.63 ,4.77 ,4.9 ,5.03 ,5.15 ,5.27 ,5.41 ,5.55 ,5.7 ,5.84 ,6 ,6.18 ,6.36 ,6.56 ,6.79 ,7.04 ,7.32 ,7.63 ,7.95 ,8.31 ,8.69 
United States of America,6.35 ,6.44 ,6.53 ,6.62 ,6.71 ,6.79 ,6.88 ,6.97 ,7.08 ,7.2 ,7.34 ,7.48 ,7.61 ,7.74 ,7.86 ,7.96 ,8.05 ,8.14 ,8.23 ,8.33 ,8.45 
Uruguay,6.28 ,6.8 ,7.35 ,7.9 ,8.43 ,8.91 ,9.34 ,9.7 ,10.03 ,10.38 ,10.77 ,11.28 ,11.92 ,12.71 ,13.57 ,14.43 ,15.2 ,15.78 ,16.2 ,16.59 ,17.04 
Venezuela (Bolivarian Republic of),24.23 ,24.23 ,24.23 ,24.23 ,24.22 ,19.14 ,18 ,17.62 ,17.34 ,17.17 ,17.07 ,17.05 ,17.17 ,17.46 ,17.91 ,18.5 ,19.15 ,19.78 ,20.33 ,20.87 ,21.51 
