Countries,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Ghana,45.5 ,47.21 ,49.07 ,51.02 ,53.11 ,55.37 ,57.82 ,60.5 ,63.42 ,66.54 ,69.84 ,73.05 ,76.06 ,78.75 ,81.17 ,83.52 ,86.07 ,88.91 ,92.25 ,96.04 ,100.1 
Guinea,101.56 ,104.02 ,106.22 ,108.31 ,110.12 ,112.61 ,114.46 ,115.75 ,117.75 ,119.76 ,121.91 ,124.28 ,126.9 ,129.83 ,133.28 ,137.25 ,141.83 ,147.05 ,152.86 ,159 ,165.57 
Guinea-Bissau,76.98 ,79.53 ,82.43 ,85.48 ,88.57 ,91.85 ,95.46 ,99.39 ,103.9 ,109.04 ,114.35 ,120.15 ,126.31 ,132.64 ,138.93 ,145.21 ,151.48 ,157.64 ,163.43 ,169.06 ,174.5 
Kenya,38.57 ,39.44 ,40.83 ,42.41 ,43.84 ,45.86 ,48.05 ,50.07 ,52.23 ,53.92 ,56.07 ,58.68 ,62.7 ,67.56 ,71.64 ,75.99 ,80.79 ,85.3 ,89.9 ,94.47 ,98.82 
Lesotho,75.49 ,77.19 ,76.37 ,75.48 ,77.82 ,82.49 ,83.98 ,85.11 ,86.85 ,89.38 ,93.03 ,101.64 ,111.35 ,113.73 ,116.76 ,116.55 ,115.03 ,113.39 ,111.58 ,109.64 ,107.5 
Liberia,78.29 ,80.56 ,82.57 ,84.47 ,86.26 ,88.32 ,92.15 ,92.05 ,94.23 ,96.81 ,99.91 ,103.61 ,108.23 ,113.99 ,121.03 ,129.58 ,139.66 ,150.99 ,163.26 ,176.13 ,189.18 
Madagascar,66.12 ,66.05 ,65.84 ,65.74 ,65.79 ,65.96 ,66.35 ,66.99 ,67.95 ,69.24 ,70.92 ,72.94 ,75.39 ,78.17 ,81.29 ,84.69 ,88.3 ,92.16 ,96.25 ,100.62 ,105.26 
Malawi,43.51 ,45.56 ,47.77 ,50.65 ,53.51 ,56.64 ,59.83 ,64.47 ,70.51 ,76.88 ,83.02 ,88.15 ,93.41 ,99.12 ,103.9 ,110.43 ,119.67 ,131.78 ,145.72 ,160.43 ,174.21 
Mali,100.06 ,103.13 ,106.2 ,109.31 ,112.4 ,115.64 ,119 ,122.5 ,126.13 ,130.04 ,134.13 ,138.38 ,142.86 ,147.56 ,152.53 ,157.77 ,163.34 ,169.23 ,175.28 ,181.51 ,187.67 
Mauritania,41.83 ,43.18 ,44.56 ,45.97 ,47.42 ,48.94 ,50.46 ,51.93 ,53.37 ,54.91 ,56.66 ,58.64 ,61.16 ,64.23 ,68.03 ,72.52 ,77.65 ,83.12 ,88.69 ,93.96 ,98.77 
Mauritius,16.33 ,15.91 ,15.36 ,14.86 ,14.57 ,14.6 ,14.75 ,14.87 ,14.86 ,14.76 ,14.62 ,14.58 ,14.8 ,15.16 ,15.47 ,15.63 ,15.76 ,16.02 ,16.56 ,17.49 ,18.85 
Mozambique,71.64 ,73.5 ,76.33 ,78.4 ,80.79 ,84.02 ,88.27 ,92.08 ,96.4 ,100.59 ,104.76 ,107.45 ,113.23 ,119.26 ,126.49 ,132.33 ,138.55 ,145.43 ,152.96 ,161.26 ,170.66 
Namibia,40.28 ,41.87 ,43.56 ,44.37 ,45.48 ,46.25 ,45.53 ,48.08 ,50.34 ,49.17 ,49.37 ,52.06 ,55.44 ,60.99 ,65.31 ,70.34 ,73.79 ,74.01 ,74.82 ,75.99 ,77 
Niger,116.32 ,117.02 ,117.66 ,118.37 ,119.14 ,120.16 ,121.63 ,123.44 ,125.98 ,129.14 ,133.29 ,138.58 ,145.06 ,152.76 ,161.63 ,171.83 ,183.13 ,195.03 ,206.87 ,218.25 ,228.51 
