Paraguay,22.0,21.6,21.8,21.8
Peru,22.3,23.0,24.0,24.4
Philippines,17.6,18.0,17.8,17.8
Poland,19.2,21.0,21.5,22.1
Portugal,21.2,23.1,23.8,24.3
Qatar,15.9,17.3,19.0,19.5
Republic of Korea,20.7,23.7,24.8,25.8
Republic of Moldova,15.8,16.5,17.8,19.0
Romania,18.2,19.2,19.9,20.3
Russian Federation,16.4,17.8,19.1,19.9
Rwanda,13.4,17.4,17.9,18.0
Saint Lucia,20.0,22.0,21.7,20.9
Saint Vincent and the Grenadines,18.5,19.8,20.1,20.9
Samoa,17.1,17.5,17.7,17.9
Sao Tome and Principe,17.1,17.5,17.6,17.7
Saudi Arabia,17.5,18.3,19.2,19.9
Senegal,16.6,17.6,17.8,18.1
Serbia,17.1,18.6,19.2,19.6
Seychelles,19.0,19.3,19.5,19.5
Sierra Leone,15.4,15.7,16.4,17.0
Singapore,21.5,24.1,25.1,25.5
Slovakia,18.5,19.8,21.0,21.8
Slovenia,20.5,22.8,23.3,23.8
Solomon Islands,14.4,14.9,15.3,15.5
Somalia,13.1,13.7,14.2,14.5
South Africa,16.2,16.9,17.7,19.1
South Sudan,16.3,17.2,17.4,17.8
Spain,22.7,24.4,24.7,25.4
Sri Lanka,19.6,20.0,20.7,20.8
Sudan,17.3,18.2,18.5,18.6
Suriname,18.9,19.9,19.8,18.5
Sweden,22.4,23.7,24.0,24.5
Switzerland,23.0,24.6,24.8,25.4
Syrian Arab Republic,17.6,19.2,16.2,18.7
Tajikistan,17.2,15.6,15.5,16.1
Thailand,20.8,22.8,23.5,23.6
Timor-Leste,17.9,18.3,18.0,17.9
Togo,15.7,15.9,16.5,17.0
Tonga,18.0,18.9,18.9,19.0
Trinidad and Tobago,18.1,19.6,21.6,22.7
Tunisia,20.1,20.9,21.2,21.5
Turkmenistan,16.3,17.2,18.0,18.7
Türkiye,21.5,21.2,21.5,22.0
Uganda,14.7,16.7,17.4,17.7
Ukraine,16.8,17.7,18.9,19.5
United Arab Emirates,18.7,19.5,19.4,19.9
United Kingdom of Great Britain and Northern Ireland,21.3,23.4,23.5,24.1
United Republic of Tanzania,16.0,17.3,17.8,18.2
United States of America,21.4,23.0,23.1,23.1
Uruguay,20.6,21.2,21.8,21.7
Uzbekistan,16.0,17.3,17.8,18.6
Vanuatu,15.0,15.3,15.5,15.7
Venezuela (Bolivarian Republic of),21.3,21.9,21.8,21.7
Viet Nam,18.9,19.2,19.4,19.6
Yemen,16.8,17.8,18.0,17.8
Zambia,13.2,15.4,16.1,16.5
Zimbabwe,14.4,14.1,15.1,15.6
